Type	Veldnaam	Tabel	Afkorting	Kolom	Beschrijving	template:all	template:default	template:minimal
select	Eenheid	dimUnit	u	Unit	Eenheid van het resultaat	33	30	
select	WaardeRuw	factResult	r	Result	Ruw resultaat in tekstvorm	34	31	9
select	WaardeGeformatteerd	factResult	r	ResultFormatted	Geformatteerd resultaat met afrondingen en rekening houden met LOQ	35	32	10
select	WaardeNumeriek	factResult	r	ResultNumeric	Numerieke waarde van het resultaat	36	33	
select	WaardeNumeriekGeformatteerd	factResult	r	ResultFormattedNumeric	Geformatteerde numerieke waarde, indien onder LOQ is dit <LOQ en niet ruwe waarde	37	34	
select	BinnenSpecs	factResult	r	IsInSpec	Viel het binnen de specificatie van de analyse?	38		
select	BenedenLOQ	factResult	r	isBelowLOQ	Is het resultaat onder de minimum LOQ?	39	35	11
select	BovenMaxLOQ	factResult	r	IsAboveLOQ	Is het resultaat boven de maximum LOQ?	40		
select	VisueleMatrix	dimSample	s	VisualMatrix	Visuele beoordeling van de matrix door het labo	41	37	
select	Plaat	dimSample	s	samplePlate	Plaatnaam waar het staal op terecht komt	42	38	
select	PlaatPositie	dimSample	s	SamplePlatePosition	Positie op de plaat waar het staal staat	43	39	
select	ArchiefStaal	dimSample	s	IsArchiveSample	Is het een staal die gearchiveerd moet worden?	44	40	
select	Xcoord	dimSample	s	SampleLambertX	De X coordinaat van de veldmeting voor het staal	45	41	
select	Ycoord	dimSample	s	SampleLambertY	De Y coordinaat van de veldmeting voor het staal	46	42	
select	Diepte	dimSample	s	SampleDepth	De Diepte coordinaat van de veldmeting voor het staal	47	43	
select	Toponiem	dimSample	s	SampleToponym	Het toponiem coordinaat van de veldmeting	48	44	
select	StaalStatus	dimSample	s	SampleStatus	De status van het staal (A = goedgekeurd, X is gecanceld)	49	45	
select	ResultaatStatus	factResult	r	ResultStatus	De status van het resultaat (A = goedgekeurd, X is gecanceld)	50	46	
select	TestStatus	factResult	r	TestStatus	De status van de test	51		
select	ProjectOmschrijving	dimProject	p	ProjectDescription	Beschrijving van het project	52		
select	ProjectStatus	dimProject	p	ProjectStatus	De status van het project (A = goedgekeurd)	53		
select	IsLaatsteReplicaat	factResult	r	isLastResultReplicate	Is dit de laatste replicaat van het resultaat 	54		
tabel	StaalTabel	dimSample	s	dimSample s	De staaltabel is de asistabel waarmee de databank bevraging begint	101	101	101
tabel	ResultaatTabel	factResult	r	left join factResult r on r.SampleKey = s.SampleKey	De tabel met de resultaten	102	102	102
tabel	ProjectTabel		p	inner join dimProject p on r.ProjectKey = p.ProjectKey	De tabel met de projectinformatie	103	103	103
tabel	ContractTabel		c	inner join dimContract c on r.ContractKey = c.ContractKey	De tabel met de contractinformatie	104	104	104
tabel	AnalyseTabel		a	inner join dimAnalysis a on r.AnalysisKey = a.AnalysisKey	De tabel met de analyseinformatie	105	105	105
tabel	EenheidTabel		u	left join dimUnit u on r.UnitKey = u.UnitKey	De tabel met de eenheiden voor de testen	106	106	106
tabel	Batchtabel		b	left join dimBatch b on r.BatchKey = b.BatchKey	De tabel met de definitie van de batches	107	107	107
filter	Project		r	Project in <<PROJECTEN>>	De projecten worden ingevuld op het moment de data ingelezen wordt <<>> werdt vervangen\	151	151	151
filter	StaalGoedgekeurd		s	SampleStatus = 'A'	Enkel geauthoriseerde stalen	152	152	152
filter	ResultaatGoedgekeurd		r	ResultStatus= 'A'	Enkel geauthoriseerde resultaten	153	153	153
filter	ProjectGoedgekeurd		p	ProjectStatus = 'V'	Enkel geauthoriseerde projecten	154	154	154
filter	ResultaatGerapporteerd		r	IsReportable=1	Enkel resultaten die door het labo als rapporteerbaar gezet zijn	155	155	155
